percent,パー
page,ページ
center,センター
service,サービス
system,システム
metre,メートル
television,テレビジョン
mail,メール
data,データ
point,ポイント
home,ホーム
hotel,ホテル
blog,ブログ
click,クリック
group,グループ
energy,エネ
type,タイプ
dollar,ダラー
up,アップ
image,イメージ
sport,スポーツ
personalcomputer,パソコン
model,モデル
level,レベル
card,カード
team,チーム
bus,バス
soft,ソフト
file,ファイル
kilo,キロ
case,ケース
door,ドア
check,チッキ
fax,ファックス
one,ワン
ball,ボール
club,クラブ
maker,メーカー
fan,ファン
internet,インターネット
net,ネット
gas,ガス
pao,パン
line,ライン
course,コース
tabaco,タバコ
camera,カメラ
theme,テーマ
table,テーブル
bed,ベッド
pro,プロ
in,イン
button,ボタン
computer,コンピューター
the,ジ
balance,バランス
mama,ママ
time,タイム
class,クラス
network,ネットワーク
member,メンバー
building,ビルディング
program,プログラム
menu,メニュー
glas,ガラス
set,セット
start,スタート
news,ニュース
key,キー
man,マン
engine,エンジン
style,スタイル
base,ベース
coffee,コーヒー
drama,ドラマ
cost,コスト
okay,オーケー
risk,リスク
window,ウインドー
event,イベント
video,ビデオ
color,カラー
media,メディア
beer,ビール
on,イオン
super,スーパー
brand,ブランド
kilometre,キロメートル
centimetre,センチ
test,テスト
race,レース
mansion,マンション
millimetre,ミリメートル
bar,バー
hall,ホール
shop,ショップ
business,ビジネス
shirt,シャツ
toilet,トイレット
staff,スタッフ
stress,ストレス
cup,カップ
wine,ワイン
speed,スピード
comment,コメ
play,プレー
volunteer,ボランティア
rule,ルール
series,シリーズ
auction,オークション
plus,プラス
cream,クリーム
open,オープン
digital,デジ
back,バック
bag,バッグ
pattern,パターン
best,ベスト
box,ボックス
free,フリー
message,メッセージ
corner,コーナー
chance,チャンス
of,オブ
control,コントロール
virus,ウイルス
scythe,サイズ
mark,マーク
number,ナム
power,パワー
advice,アドバイス
access,アクセス
my,マイ
blue,ブルー
radio,ラジオ
title,タイトル
user,ユーザー
car,カー
present,プレゼント
copy,コピー
curry,カレー
golf,ゴルフ
care,ケア
restaurant,レストラン
tel,テル
trouble,トラブル
cut,カット
live,リブ
show,ショー
kilogramme,キログラム
soccer,サッカー
hristmas,クリスマス
sauce,ソース
communication,コミュニケーション
pink,ピンク
code,コード
space,スペース
star,スター
party,パーティー
list,リスト
drive,ドライブ
tool,ツール
pocket,ポッケ
minus,マイナス
tape,テープ
note,ノーパソ
word,ワード
cake,ケーキ
taxi,タクシー
sex,セックス
mode,モード
side,サイド
memo,メモ
papa,パパ
and,アンド
green,グリーン
main,メーン
soup,スープ
des,デ
piano,ピアノ
plan,プラン
tour,トゥール
truck,トロッコ
text,テキスト
bike,バイク
lens,レンズ
house,ハウス
process,プロセス
kiss,キス
coat,コート
new,ニュー
needs,ニーズ
salad,サラダ
off,オフ
part,パート
mini,ミニ
apartment,アパートメント
season,シーズン
zero,ゼロ
tomato,トマト
loan,ローン
web,ウェブ
oil,オイル
body,ボディー
size,サイズ
cheese,チーズ
stage,ステージ
pack,パック
gom,ゴム
cover,カバー
slam,スラム
high,ハイ
hit,ヒット
day,デー
band,バンド
route,ルート
room,ルーム
idea,イデア
towel,タオル
full,フル
pants,パンツ
concert,コン
dance,ダンス
glass,グラス
album,アルバム
sign,サイン
terrorism,テロリズム
love,ラブ
ski,スキー
pen,ペン
butter,バター
white,ホワイト
alcohol,アルコール
graph,グラフ
office,オフィス
run,ラン
pet,ペット
rhythm,リズム
training,トレーニング
record,レコード
step,ステップ
ormon,ホルモン
merit,メリット
bank,バンク
counter,カウンター
ranking,ランキング
block,ブロック
down,ダウン
art,サルト
skirt,スコート
film,フィルム
original,オリジナル
milli,ミリ
work,ワーク
cable,ケーブル
community,コミュ
no,ノー
driver,ドライバー
camp,キャムプ
simple,シンプル
orange,オレンジ
pool,プール
support,サポ
player,プレーヤー
cell,セル
timing,タイミング
pass,パス
memory,メモリー
world,ワールド
goal,ゴール
black,ブラック
vitamin,ビタミン
fashion,ファッション
share,シェア
server,サーバー
animation,アニメーション
to,ツー
by,バイ
out,アウト
interview,インタビュー
option,オプション
double,ダブル
ticket,チケ
item,アイテム
install,インストール
debut,デビュー
channel,チャン
belt,ベルト
school,スクール
story,ストーリー
diet,ダイエット
suit,スーツ
disc,ディスク
milk,ミルク
salaryman,リーマン
switch,スイッチ
machine,マシン
tunnel,トンネル
panel,パネル
report,レポ
boom,ブーム
life,ライフ
date,デーツ
mouse,マウス
folder,フォルダー
ice,アイス
approach,アプローチ
two,ツー
rock,ロック
bubble,バブル
land,ランド
cafe,カフェ
all,オール
laser,レーザー
lympic,オリンピック
area,マレア
guide,ガイド
gasoline,ガソリン
lead,リード
real,レアル
pace,パーチェ
knife,ナイフ
sun,サン
jacket,ジャケ
dam,ダム
millilitre,ミリリットル
massage,マッサージ
rbeit,アルバイト
field,フィールド
le,ル
clear,クリア
short,ショート
print,プリント
owner,オーナー
hard,ハード
juice,ジュース
front,フロント
air,エアー
tennis,テニス
park,パーク
make,メーク
ring,リング
chain,チェーン
boy,ボーイ
peak,ピーク
,モドゥ
litre,リットル
range,レンジ
sofa,ソファー
family,ファミリー
hectare,ヘクタール
lunch,ランチ
guitar,ギター
character,キャラ
global,グローバル
convenience,コンビニエンス
dress,ドレス
parts,パーツ
light,ライト
road,ロード
enquete,アンケート
brake,ブレーキ
bottle,ボトル
master,マスター
piece,ピース
stand,スタンド
volume,ボリューム
robot,ロボ
red,レッド
manager,マネージャー
frame,フレーム
career,キャリア
illustration,イラストレーション
software,ソフトウェア
bench,ベンチ
over,オーバー
market,マーケット
ribbon,リボン
hint,ヒント
post,ポスト
curtain,カーテン
city,シティー
big,ビッグ
recipe,レシピ
map,マップ
seminar,セミナー
plastics,プラ
inyl,バイナル
management,マネージメント
elevator,エレベーター
download,ダウンロード
action,アクション
head,ヘッド
circle,サークル
link,リンク
spot,スポット
allergie,アレルギー
security,セキュリティー
schedule,スケジュール
smooth,スムーズ
collection,コレ
baby,ベビー
episode,エピソード
boat,ボート
plaza,プラ
mat,マット
opera,オペラ
shot,ショット
heart,ハート
long,ロング
jupon,ズボン
category,カテ
missile,ミサイル
monitor,モニター
lesson,レッスン
manual,マニュアル
board,ボール
you,ユー
calorie,カロリー
cycle,サイクル
tank,タンク
partner,パートナー
first,ファースト
rate,レア
cabbage,キャベツ
flow,フロー
lemon,レモン
de,ド
book,ブック
photo,フォト
cash,キャッシュ
pipe,パイプ
chocolate,チョコ
kilocalorie,キロカロリー
chip,チップ
paper,ペーパー
log,ログ
challenge,チャレンジ
hair,ヘア
rink,リンク
application,アプリ
manner,マナー
sense,センス
clinic,クリニック
studio,スタジオ
touch,タッチ
microphon,マイク
inch,インチ
couple,カップル
poster,ポスター
lobby,ロビー
handle,ハンドル
multi,マルチ
lucky,ラッキー
salon,サロン
dome,ドーム
jazz,ジャズ
micro,ミクロ
excel,エクセル
mechanism,メカ
bell,ベル
appeal,アピール
get,ゲット
campaign,キャンペーン
stock,ストック
silver,シルバー
artist,アーチスト
