quinto,クイント
﻿archiver,アーカイバ
﻿archive,アーカイブ
﻿argyle check,アーガルチェック
﻿architecture,アーキテクチャ
﻿argument,アーギュメント
﻿archaic smile,アーケイックスマイル
﻿ergonomics,アーゴノミックス
﻿earth,アース
﻿earth color,アースカラー
﻿arch,アーチ
﻿archery,アーチェリー
﻿artisan,アーチザン
﻿artist,アーティスト
﻿arch dam,アーチダム
﻿artifact,アーチファクト
﻿article,アーティクル
﻿artificial,アーティフィシャル
﻿artificial intelligence,アーティフィシャルインテリジェンス
﻿ardent,アーデント
﻿art,アート
﻿art director,アートディレクター
﻿urbanity,アーバニティー
﻿urban,アーバン
﻿urban sprawl,アーバンスプロール
﻿urban design,アーバンデザイン
﻿urban life,アーバンライフ
﻿urban renewal,アーバンリニュアル
﻿arbiter,アービタ
﻿arbitration,アービトレーション
﻿army blue,アーミーブルー
﻿army look,アーミールック
﻿arm,アーム
﻿armchair,アームチェア
﻿armlet,アームレット
﻿amen,アーメン
﻿almond,アーモンド
﻿early American,アーリーアメリカン
﻿iron,アイアン
﻿iconify,アイコニファイ
﻿icon,アイコン
﻿eyeshadow,アイシャドウ
﻿icing,アイシング
﻿icing the puck,アイシングザパック
﻿ice,アイス
﻿ice cream,アイスクリーム
﻿ice tea,アイスティ
﻿ice tong,アイストング
﻿ice pick,アイスピック
﻿ice hockey,アイスホッケー
﻿icebox,アイスボックス
﻿isotype,アイソタイプ
﻿isotope,アイソトープ
﻿isotonic,アイソトニック
﻿isoparametric,アイソパラメトリック
﻿isometric,アイソメトリック
﻿isometrics,アイソメトリックス
﻿isolation,アイソレーション
﻿isolation syndrome,アイソレーションシンドローム
﻿isolator,アイソレータ
﻿item,アイテム
﻿idea,アイデア
﻿idea man,アイディアマン
﻿idealism,アイディアリズム
﻿ideal,アイディアル
﻿idealist,アイディリスト
﻿identity,アイデンティティ
﻿identity card,アイデンティティーカード
﻿identify,アイデンティファイ
﻿identification,アイデンティフィケーション
﻿identification card,アイデンティフィケーションカード
﻿idling,アイドリング
﻿idol,アイドル
﻿idle capital,アイドルキャピタル
﻿idle cost,アイドルコスト
﻿idle system,アイドルシステム
﻿idle time,アイドルタイム
﻿Ainu,アイヌ
﻿eye bank,アイバンク
﻿ivy style,アイビースタイル
﻿Ivy League,アイビーリーグ
﻿ivy look,アイビールック
﻿eyebrow,アイブロー
﻿eyebrow shape,アイブローシェープ
﻿eyebrow pencil,アイブローペンシル
﻿ivory,アイボリー
﻿eyeline,アイライン
﻿eyelash curler,アイラッシュカーラー
﻿iris,アイリス
﻿irony,アイロニー
﻿ironical,アイロニカル
﻿Australopithecus,アウストラロピテクス
﻿outer,アウター
﻿outerwear,アウターウエア
﻿outer space,アウタースペース
﻿autarchy,アウタルキー
﻿exterior,アウテリア
﻿out wear,アウトウエア
﻿out of bounds,アウトオブバウンズ
﻿out of fashion,アウトオブファッション
﻿out count,アウトカウント
﻿outsider,アウトサイダー
﻿outstanding,アウトスタンディング
﻿outdoor,アウトドア
﻿outdoor life,アウトドアライフ
﻿outdoor game,アウトドアゲーム
﻿outdoor shop,アウトドアショップ
﻿outdoor sports,アウトドアスポーツ
﻿outdrive,アウトドライブ
﻿outback,アウトバック
﻿output,アウトプット
﻿out boxing,アウトボクシング
﻿outpocket,アウトポケット
﻿outline,アウトライン
﻿outlaw,アウトロー
﻿aura,アウラ
﻿accountability,アカウンタビリティ
﻿accounting,アカウンティング
﻿account,アカウント
﻿acacia,アカシア
﻿academia,アカデミー
﻿academicism,アカデミシズム
﻿academician,アカデミシャン
﻿academism,アカデミズム
﻿academic,アカデミック
﻿accumulator,アキュムレータ
﻿acoustic,アコースティック
﻿aquatron,アクアトロン
﻿aquanaut,アクアノート
﻿aquamarine,アクアマリン
﻿aqualung,アクアルング
﻿accident,アクシデント
﻿action,アクション
﻿action star,アクションスター
﻿action drama,アクションドラマ
﻿action bar,アクションバー
﻿action program,アクションプログラム
﻿access,アクセス
﻿access time,アクセスタイム
﻿accessoiriste,アクセソワリスト
﻿accessing,アクセッシング
﻿acceptance,アクセプタンス
﻿accept,アクセプト
﻿accelerator,アクセレレーター
﻿accent,アクセント
﻿actor,アクター
﻿active defense,アクチブディフェンス
﻿actuality,アクチュアリティー
﻿actual,アクチュアル
﻿actual time,アクチュアルタイム
﻿activity,アクティビティ
﻿active,アクティブ
﻿active sportswear,アクティブスポーツウエア
﻿active solar house,アクティブソーラーハウス
﻿active homing,アクティブホーミング
﻿activation,アクティベーション
﻿actress,アクトレス
﻿acrylonitrile,アクリロニトリル
﻿acrobatic,アクロバティック
﻿acrobat,アクロバット
﻿acropolis,アクロポリス
﻿achromatic lens,アクロマチックレンズ
﻿agreement,アグリーメント
﻿agriculture,アグリカルチャー
﻿agribusiness,アグリビジネス
﻿aggressive,アグレッシブ
﻿against,アゲンスト
﻿against wind,アゲンストウインド
﻿acoustic guitar,アコースティックギター
﻿acoustic sound,アコースティックサウンド
﻿accordion,アコーディオン
﻿accordion door,アコーディオンドア
﻿accordion pleats,アコーディオンプリーツ
﻿accord,アコード
﻿accommodator,アコモデーター
﻿agoraphobia,アゴラフォビア
﻿assertiveness training,アサーティブネストレーニング
﻿assert,アサート
﻿aside,アサイド
﻿assign,アサイン
﻿assignment,アサインメント
﻿assistant,アシスタント
﻿assistant director,アシスタントディレクター
﻿assistant purser,アシスタントパーサー
﻿assist,アシスト
﻿acidosis,アシドーシス
﻿asymmetric design,アシメトリックデザイン
﻿asymmetry,アシンメトリー
﻿asymmetric design,アシンメトリックデザイン
﻿Asia dollar,アジアダラー
﻿agitation,アジテーション
﻿agitator,アジテーター
﻿adjust,アジャスト
﻿Ascot tie,アスコットタイ
﻿asterisk,アスタリスク
﻿Aztec,アステック
﻿asterisk,アステリ
﻿astringent,アストリンゼント
﻿Astrodome,アストロドーム
﻿astronaut,アストロノート
﻿astrology,アストロロジー
﻿asparagus,アスパラガス
﻿aspartame,アスパルテーム
﻿Aspite,アスピーテ
﻿aspic,アスピック
﻿aspirin,アスピリン
﻿aspirin snow,アスピリンスノー
﻿asphalt,アスファルト
﻿asphalt jungle,アスファルトジャングル
﻿asbestos,アスベスト
﻿asbestos cement,アスベストセメント
﻿aspect,アスペクト
﻿aspect ratio,アスペクトレーショ
﻿athlete,アスリート
﻿athlete fund,アスリートファンド
﻿athletic,アスレチック
﻿athletic club,アスレチッククラブ
﻿athletics,アスレチックス
﻿assessment,アセス
﻿assessment,アセスメント
﻿acetylcholine,アセチルコリン
﻿acetylene,アセチレン
﻿acetate,アセテート
﻿acetone,アセトン
﻿assembler,アセンブラ
﻿assembly,アセンブリ
﻿assemble,アセンブル
﻿association,アソシエーション
﻿attacker,アタッカー
﻿attack,アタック
﻿attache case,アタッシュケース
﻿attach,アタッチ
﻿attachment,アタッチメント
﻿adagio,アダージョ
﻿adapter,アダプター
﻿adaptive,アダプティヴ
﻿adult,アダルト
﻿adult education,アダルトエデュケーション
﻿sex shop,アダルトショップ
﻿achieve,アチーブ
﻿achievement test,アチーブメントテスト
﻿accelerando,アチェレランド
﻿at bat,アットバット
﻿at home,アットホーム
﻿upper,アッパー
﻿uppercut,アッパーカット
﻿up style,アップスタイル
﻿up down,アップダウン
﻿up to date,アップツーデート
﻿update,アップデート
﻿upright piano,アップライトピアノ
﻿applique,アップリケ
﻿apple,アップル
﻿upload,アップロード
﻿attest,アテスト
﻿attention,アテンション
﻿attention value,アテンションバリュー
﻿adenoid,アデノイド
﻿Adenovirus,アデノウイルス
﻿atopic,アトピー
﻿atomic,アトミック
﻿atom,アトム
﻿atmosphere,アトモスフィア
﻿attraction,アトラクション
﻿attractor,アトラクター
﻿attractive,アトラクティブ
﻿at random,アトランダム
﻿atrium,アトリウム
﻿attribute,アトリビュート
﻿autoload,アトロード
﻿ad,アド
﻿adobe,アドービ
﻿ad impact,アドインパクト
﻿ad campaign,アドキャンペーン
﻿adviser,アドバイザー
﻿advice,アドバイス
﻿advertising,アドバタイジング
﻿advertisement,アドバタイズメント
﻿advanced,アドバンスド
﻿advantage,アドバンテージ
﻿advantage rule,アドバンテージルール
﻿adventure,アドベンチャー
﻿ad hoc,アドホック
﻿ad man,アドマン
﻿admittance,アドミタンス
﻿admission,アドミッション
﻿admin,アドミン
﻿ad lib,アドリブ
﻿address,アドレス
﻿addressing,アドレッシング
﻿adrenalin,アドレナリン
﻿anarchy,アナーキー
﻿anarchist,アナーキスト
﻿anarchism,アナーキズム
﻿announcer,アナウンサー
﻿announcement,アナウンス
﻿announcement,アナウンスメント
﻿anachronism,アナクロ
﻿anachronism,アナクロニズム
﻿anagram,アナグラム
﻿analog computer,アナコン
﻿anathema,アナテマ
﻿analog digital,アナデジ
﻿Anaphylaxie,アナフィラキシー
﻿analyzer,アナライザ
﻿analysis,アナリシス
﻿analyst,アナリスト
﻿analog,アナログ
﻿analog computer,アナログコンピューター
﻿analog speedometer,アナログスピードメーター
﻿analogy,アナロジー
﻿annealing,アニーリング
﻿anniversary,アニバーサリー
﻿anima,アニマ
﻿animal,アニマル
﻿animism,アニミズム
﻿animated film,アニメ
﻿animation,アニメーション
﻿animator,アニメーター
﻿annual report,アニュアルレポート
﻿anus,アヌス
﻿anecdote,アネクドート
﻿Anoekumene,アネクメーネ
﻿anode,アノード
﻿anonymous,アノニマス
﻿anonym,アノニム
﻿anorak,アノラック
﻿anorexia,アノレクシア
﻿about,アバウト
﻿aperture,アパーチャ
﻿apathy,アパシー
﻿appetite,アパタイト
﻿apache,アパッシュ
﻿Apache,アパッチ
﻿apartheid,アパルトヘイト
﻿habitation,アビタシオン
﻿ability,アビリティー
﻿ability Olympics,アビリンピック
﻿appeal,アピール
﻿appearance money,アピアランスマネー
﻿affair,アフェア
﻿aphorism,アフォルズム
﻿Afrikaner,アフカーナ
﻿after,アフター
﻿afternoon,アフタヌーン
﻿afternoon shadow,アフタヌーンシャドー
